Date,Open,High,Low,Close,AdjClose,Volume
5/22/2018,21950,22100,21700,22000,21228.62891,12552200
5/23/2018,22100,22350,22000,22000,21228.62891,15903100
5/24/2018,22300,22625,22275,22450,21662.84961,15539400
5/25/2018,22425,22675,22375,22550,21759.3418,12782700
5/28/2018,22500,23000,22400,22850,22048.82227,12820900
5/29/2018,22850,22850,22850,22850,22048.82227,0
5/30/2018,22850,22975,22450,22700,21904.08398,21952300
5/31/2018,22875,22950,22450,22700,21904.08398,35604600
6/1/2018,22700,22700,22700,22700,21904.08398,0
6/4/2018,22950,22975,22800,22925,22121.19531,17917000
6/5/2018,22800,22925,22400,22725,21928.20508,15446600
6/6/2018,22725,23150,22625,23025,22217.6875,11582700
6/7/2018,23150,23150,22900,22975,22169.44141,8136300
6/8/2018,22850,23000,22100,22250,21469.86133,34169000
6/11/2018,22250,22250,22250,22250,21469.86133,0
6/12/2018,22250,22250,22250,22250,21469.86133,0
6/13/2018,22250,22250,22250,22250,21469.86133,0
6/14/2018,22250,22250,22250,22250,21469.86133,0
6/15/2018,22250,22250,22250,22250,21469.86133,0
6/18/2018,22250,22250,22250,22250,21469.86133,0
6/19/2018,22250,22250,22250,22250,21469.86133,0
6/20/2018,22000,22025,21150,21500,20746.1582,50687800
6/21/2018,21625,21950,21150,21150,20408.42969,18118700
6/22/2018,21400,21925,21100,21925,21156.25781,19301900
6/25/2018,21925,22475,21825,22200,21421.61328,12502600
6/26/2018,22100,22300,21375,21375,20625.54297,10952700
6/27/2018,21400,21700,21350,21350,20601.41797,13461900
6/28/2018,21375,21375,20925,20950,20215.44141,23619700
6/29/2018,20950,21475,20825,21475,20722.03516,23837600
7/2/2018,21650,21650,21425,21450,20697.91211,11888300
7/3/2018,21600,21625,20600,20600,19877.71289,14607600
7/4/2018,20975,21400,20700,21225,20480.79883,12398900
7/5/2018,21050,21300,21000,21225,20480.79883,6828800
7/6/2018,20975,21050,20925,20925,20191.31836,7521800
7/9/2018,21200,22000,21075,21900,21132.13477,16009900
7/10/2018,21850,22000,21400,21900,21132.13477,23327900
7/11/2018,21500,22450,21500,22325,21542.23438,19114000
7/12/2018,22200,22900,22175,22825,22024.70117,15801600
7/13/2018,23000,23075,22800,23025,22217.6875,14787200
7/16/2018,23050,23125,22900,23125,22314.18164,14314200
7/17/2018,22925,23000,22525,22725,21928.20508,6064400
7/18/2018,22950,23200,22950,23200,22386.55078,16018100
7/19/2018,23100,23200,23050,23200,22386.55078,15385100
7/20/2018,23150,23150,22925,23100,22290.05859,11420800
7/23/2018,23200,23500,23100,23350,22531.29297,14031500
7/24/2018,23500,23525,23300,23525,22700.15625,17658200
7/25/2018,23525,23575,23425,23575,22748.4043,10026300
7/26/2018,23225,23625,23225,23325,22507.16992,10863500
7/27/2018,23300,23350,23125,23225,22410.67578,9328500
7/30/2018,23400,23400,23000,23275,22458.92383,8019300
7/31/2018,23200,23300,22650,23275,22458.92383,13360600
8/1/2018,23400,23475,23250,23475,22651.91016,11318800
8/2/2018,23600,23900,23450,23450,22627.78906,15866600
8/3/2018,23450,23650,23350,23450,22627.78906,8280800
8/6/2018,23400,23800,23400,23800,22965.51758,12600100
